28	{(84,0.20259944198398444),(265,0.22304732907654765),(618,0.3134070039071438),(737,0.27845111003812734),(1216,0.27845111003812734),(1269,0.25800322294556416),(1533,0.3134070039071438),(1620,0.3134070039071438),(1791,0.6268140078142876)}
30	{(225,0.18336000549103215),(433,0.49644563394872426),(1032,0.40255893241270035),(1311,0.452790803786926),(1544,0.49644563394872426),(1694,0.32617383002559164)}
33	{(46,0.48316440646098385),(1642,0.634607096077233),(1805,0.6031798984860379)}
41	{(46,0.48316440646098385),(1642,0.634607096077233),(1805,0.6031798984860379)}
44	{(532,0.25638930381942127),(804,0.8145959477508852),(877,0.3164419012902001),(1174,0.3472453764046638),(1185,0.22356909103956282)}
45	{(434,0.6046441147111082),(1046,0.5514748765689704),(1595,0.5747007526169242)}
47	{(17,0.3192420184747384),(357,0.2305567252143321),(397,0.4485715428455085),(995,0.7385470160717579),(1814,0.3134645212768433)}
48	{(749,0.5021908905238534),(1357,0.4277905440311003),(1685,0.7515314763284597)}
49	{(1050,0.7071067811865475),(1395,0.7071067811865475)}
50	{(421,0.30874041139745323),(678,0.35097737564105896),(768,0.35097737564105896),(784,0.6236621302469495),(1303,0.2600824574390955),(1454,0.35097737564105896),(1593,0.2802260986467077)}
52	{(27,0.4466696835011378),(306,0.24560331994782925),(451,0.22442667098573804),(614,0.3540952448362751),(817,0.25999816620857724),(818,0.362196499747863),(1325,0.2867797484745874),(1593,0.3815202685596603),(1700,0.37125293222786226)}
57	{(43,0.23149153985589047),(131,0.2812021846385744),(216,0.18711041005072326),(271,0.19650579622277042),(381,0.08635041564213626),(415,0.13142773235925373),(418,0.18436723206947658),(421,0.06184050895916183),(481,0.11574576992794523),(549,0.07458860278314879),(661,0.1000638074966367),(676,0.08257093568007669),(679,0.1406010923192872),(718,0.5624043692771488),(769,0.08257093568007669),(788,0.11574576992794523),(940,0.19003068641406073),(961,0.10418870316706381),(968,0.12491912988797867),(992,0.11574576992794523),(1121,0.11225822033153929),(1247,0.13142773235925373),(1403,0.11574576992794523),(1445,0.23974133119674465),(1494,0.23149153985589047),(1525,0.13142773235925373),(1557,0.24983825977595733),(1752,0.1406010923192872),(1800,0.09657625790023079)}
61	{(99,0.2928248823914226),(162,0.395162787048836),(192,0.3155044564989356),(225,0.13642918272242252),(340,0.395162787048836),(421,0.17380425336474223),(602,0.19308268978407583),(727,0.29952434828740077),(967,0.3368994189297205),(1007,0.36938083593726734),(1435,0.14705150301002826),(1804,0.23456151427230706)}
62	{(444,0.7305365906060476),(654,0.6828735532920367)}
64	{(59,0.3782721955861859),(347,0.16362887183200167),(380,0.3114016100318113),(385,0.3782721955861859),(483,0.24124004841342006),(637,0.2114421143999071),(857,0.20581951389700232),(878,0.2114421143999071),(927,0.322499200499125),(1004,0.33655511975297436),(1051,0.2643389100199839),(1476,0.33608155352118524)}
65	{(305,0.2531878571542989),(569,0.2743130037053798),(787,0.2595104130530922),(790,0.3662750964047866),(908,0.1900348030101622),(1025,0.33937790854628874),(1324,0.2595104130530922),(1398,0.3202940500550832),(1447,0.19362144012988605),(1456,0.3202940500550832),(1643,0.2991689035040023),(1648,0.3291520723129947)}
66	{(281,0.24696629163993963),(313,0.28913891190819235),(545,0.09821628115877688),(578,0.16978828975915153),(701,0.21615480646122684),(913,0.19471341590924848),(1008,0.1999575327964011),(1164,0.17621955500915404),(1253,0.1330757219678158),(1335,0.6186403145901899),(1553,0.14171948814670968),(1582,0.27482009043265054),(1597,0.26371354963413723),(1639,0.30932015729509493)}
68	{(116,0.8887059161591339),(421,0.4584776925693928)}
69	{(1324,0.5585751371269168),(1511,0.82945392649842)}
70	{(12,0.21884181212969658),(134,0.7530713279945597),(216,0.2505447906807897),(265,0.26797510301186755),(272,0.26312541118823557),(295,0.24013258936814194),(421,0.16561149503725123),(1477,0.309972060784031)}
71	{(81,0.41289766091677566),(166,0.4527062813895708),(537,0.3866763929456481),(660,0.430287228964929),(868,0.367091469579793),(873,0.29065548503794125),(1213,0.2658383984815106)}
72	{(6,0.29380520329558224),(127,0.3170905543683601),(357,0.18343792351380642),(575,0.33361177387757873),(829,0.16157063811813113),(871,0.20332413216380973),(908,0.16451634748648164),(956,0.23747741320436708),(963,0.18780169855925954),(1031,0.30427570093689865),(1158,0.35689712495035664),(1378,0.30427570093689865),(1498,0.33361177387757873),(1629,0.24118377928212423)}
73	{(11,0.2105180750044278),(12,0.13089264847516383),(207,0.2105180750044278),(308,0.22521176289999442),(441,0.22521176289999442),(449,0.40018547506185814),(550,0.22521176289999442),(564,0.11664914144124247),(637,0.1258862054651219),(677,0.1634332376779627),(749,0.12830304041001295),(756,0.45042352579998884),(892,0.0901960110642644),(940,0.15219350428380657),(960,0.18539904963536247),(1053,0.12473566142373303),(1111,0.15219350428380657),(1156,0.1798127687619243),(1181,0.2105180750044278),(1289,0.22521176289999442),(1319,0.22521176289999442),(1470,0.15469374339285902)}
74	{(149,0.18448815047768755),(193,0.303934837716046),(320,0.303934837716046),(607,0.22522283480569313),(817,0.16537224063783487),(829,0.13759411954619366),(832,0.25020553694904024),(873,0.18240670796405287),(886,0.303934837716046),(977,0.5682099028830678),(1242,0.2841049514415339),(1505,0.303934837716046)}
76	{(12,0.25930888938368457),(46,0.3175276500786038),(110,0.3306169823938283),(199,0.5768365394622884),(222,0.3562235916825162),(1123,0.25669796290606356),(1408,0.24939072215412458),(1734,0.36729046446683017)}
77	{(77,0.6965347383584719),(225,0.24047726204613182),(590,0.5938366574693013),(1482,0.3230604725811856)}
78	{(149,0.2393728113544914),(330,0.39435452295598816),(421,0.17344875496817486),(564,0.20425716638394958),(666,0.17344875496817486),(749,0.22466359502350303),(811,0.2922259397640134),(1053,0.21841697619586065),(1162,0.39435452295598816),(1278,0.39435452295598816),(1358,0.24219354491412234),(1694,0.24219354491412234),(1776,0.2708747384880422)}
80	{(90,0.5451658920418165),(477,0.4843607382780302),(642,0.3271816959480589),(997,0.5451658920418165),(1482,0.25285393680900925)}
81	{(87,0.2416421428822172),(225,0.08342647927685945),(342,0.4832842857644344),(877,0.18773896270073587),(988,0.14044195408706225),(1233,0.7249264286466517),(1378,0.20601407873937927),(1657,0.1790624886486386),(1705,0.21469055279147653)}
83	{(85,0.5259278520836521),(352,0.23984025499908448),(497,0.23984025499908448),(784,0.24994134984600755),(1004,0.1251467687638807),(1231,0.20414895882275205),(1438,0.24994134984600755),(1544,0.5259278520836521),(1563,0.19658687986590836),(1580,0.26296392604182606),(1807,0.20414895882275205)}
84	{(12,0.256235859191706),(158,0.3758719736884916),(412,0.3917021705690867),(421,0.19390994485890825),(829,0.3991766312760235),(855,0.44087525341584405),(908,0.20322715236005484),(1434,0.19282684347293516),(1543,0.41211084390563624)}
86	{(163,0.18703516624256084),(222,0.26962065791012635),(374,0.2879041519392197),(984,0.3376942811141108),(1112,0.3376942811141108),(1292,0.2502393732213323),(1387,0.2779970192482989),(1398,0.5247294473566717),(1402,0.3376942811141108),(1692,0.2282068900734078)}
87	{(513,0.38784920189117167),(1098,0.7828001441401398),(1453,0.486617848960103)}
88	{(46,0.26795480027017077),(199,0.24339001608504207),(549,0.1997362948822581),(628,0.2544358239865827),(643,0.3519423521383492),(1169,0.3765071363234779),(1213,0.20666775588599104),(1414,0.20485913762909555),(1553,0.17250217092202697),(1734,0.6198971524085201)}
89	{(40,0.312425667106701),(175,0.17975290099177763),(577,0.277579226774518),(676,0.18347851526565753),(857,0.16999213709905606),(890,0.277579226774518),(1357,0.15161945587340311),(1451,0.277579226774518),(1470,0.2145993413239606),(1561,0.211130877414645),(1577,0.1730399057779692),(1601,0.22672322995677227),(1673,0.312425667106701),(1727,0.5327223572495444)}
90	{(224,0.2576697265643689),(325,0.3130018922947732),(421,0.13766746762346677),(437,0.3130018922947732),(462,0.2115202786142096),(574,0.29258043625322794),(584,0.3130018922947732),(748,0.23724827052282355),(987,0.3130018922947732),(1147,0.2319417346557549),(1357,0.15189909662854703),(1586,0.29258043625322794),(1595,0.27809118260591414),(1601,0.22714138905692574),(1629,0.2115202786142096)}
92	{(194,0.4744387622429109),(1032,0.5712794511931888),(1051,0.5266828603023311),(1185,0.4137061930761721)}
96	{(635,0.6124725254812735),(758,0.35019918927210225),(769,0.2314799563408139),(780,0.33604628808815445),(829,0.17844084505089122),(902,0.29208336155668896),(1111,0.2663666981138224),(1324,0.24812043502522335),(1435,0.2933582485911774)}
97	{(43,0.3394971219115508),(199,0.2665932877472665),(532,0.25960157134266126),(543,0.3854943200352371),(586,0.3125904858709528),(761,0.4124009560758351),(781,0.29927399264171684),(847,0.20727959639434423),(892,0.1651642024295444),(1428,0.4124009560758351)}
98	{(432,0.4949455734186028),(527,0.3333087983678177),(956,0.3523208821027207),(991,0.32518826291628256),(1027,0.3523208821027207),(1447,0.24868262043394598),(1456,0.41137780828232307),(1553,0.24259423563036756)}
99	{(715,0.7696085682061639),(749,0.4690481766203249),(963,0.4332394946825679)}
100	{(963,0.41195624599737396),(1027,0.5209234229687683),(1046,0.6674501693424866),(1253,0.3368101991195319)}
101	{(243,0.270989294301268),(470,0.3341907014617919),(835,0.2280032453253078),(999,0.3575164603771571),(1279,0.25944503026935495),(1304,0.3341907014617919),(1612,0.30480372066003586),(1694,0.2195693820241963),(1732,0.2854470112510319),(1765,0.48320462699902406)}
102	{(688,0.5851992812782272),(708,0.5153732789642814),(1416,0.6260448742071542)}
103	{(130,0.3754219124313335),(311,0.15410766417660166),(421,0.33024326847268476),(501,0.25370245187070745),(514,0.3754219124313335),(857,0.20426866268391897),(1357,0.1821913884762585),(1363,0.2394223032703941),(1414,0.20426866268391897),(1434,0.16419933254095667),(1565,0.24614139801992005),(1715,0.3754219124313335),(1737,0.26234711482278616),(1804,0.22284368659444706)}
104	{(190,0.42247502761258804),(513,0.30474133751288013),(628,0.4156467709328563),(666,0.27052270711387705),(950,0.45577584185232584),(1174,0.5243769417006022)}
105	{(199,0.3590700174150808),(582,0.5192158188907238),(898,0.5192158188907238),(916,0.40308710942345877),(1733,0.41160584499912584)}
106	{(34,0.47167703375763986),(591,0.3480723457753035),(708,0.4370397190451551),(772,0.32224966095914426),(963,0.27935788969662484),(1140,0.39340186330920873),(1629,0.35876454859672396)}
107	{(65,0.3533281221349287),(229,0.30123291701573046),(243,0.2678146297743281),(262,0.5490222388479903),(264,0.3533281221349287),(549,0.18743987346976598),(829,0.15995491744676316),(892,0.14150587341900597),(1253,0.15200882915555097),(1482,0.16387746917281168),(1553,0.1618823715036119),(1563,0.24690783984220915),(1733,0.2618244156602637)}
108	{(1482,0.4207569940218259),(1715,0.9071733858429253)}
110	{(167,0.6545679948430075),(225,0.26507073492850236),(847,0.38589347515474653),(864,0.47152669202748554),(1447,0.3605926374044232)}
111	{(208,0.5717185340902),(239,0.5344174020540258),(527,0.35989012059478953),(1805,0.5079518276941686)}
112	{(225,0.41428176865942984),(642,0.7201532194992034),(1482,0.5565518453849082)}
113	{(132,0.5727073902138639),(758,0.5727073902138639),(1185,0.35382787395111887),(1279,0.46778021121471297)}
115	{(131,0.4533682670225693),(198,0.4237887649059696),(354,0.4237887649059696),(626,0.4237887649059696),(642,0.27208928632332496),(1654,0.3226557791842065),(1694,0.2784369427760386)}
116	{(12,0.30065490073368323),(26,0.4410301949710283),(296,0.4835511518823907),(501,0.34958206939667463),(767,0.3391635305434317),(1081,0.4410301949710283),(1253,0.2225536446147733)}
117	{(135,0.46365949795136097),(347,0.20056478231609182),(670,0.3816942293230179),(1032,0.3514432874317736),(1118,0.4334085560601167),(1140,0.3435825497923065),(1405,0.4119451712142621)}
118	{(317,0.7663369269128412),(536,0.3826210781487537),(1324,0.5160705620417311)}
119	{(174,0.4311775578294133),(440,0.4311775578294133),(547,0.39326206060385777),(770,0.4311775578294133),(801,0.4612727810646855),(892,0.18473708623749427),(1434,0.20174816722768021)}
120	{(303,0.6128745946402879),(564,0.33959694565150966),(879,0.46661815095485865),(1531,0.5397463727975734)}
121	{(144,0.3490546911990231),(388,0.4371837600561503),(532,0.27520205616400084),(749,0.24906339220830745),(1487,0.40866019787379715),(1745,0.4371837600561503),(1769,0.4371837600561503)}
122	{(335,0.40120668930999354),(984,0.4705913534491623),(1187,0.4705913534491623),(1253,0.20245781800865498),(1398,0.36561640903649995),(1436,0.4705913534491623)}
123	{(417,0.46018939382147056),(505,0.3788375667778066),(568,0.4301648549670533),(602,0.22485570221006626),(734,0.46018939382147056),(829,0.20833200610756744),(1539,0.392338409529725)}
124	{(277,0.5433065779341814),(513,0.3029819193603251),(908,0.2818841890297246),(941,0.5433065779341814),(1063,0.48824090904254097)}
125	{(425,0.3811895484799889),(549,0.20222030531665697),(891,0.35631926558582194),(978,0.32498641469779826),(1576,0.7623790969599779)}
133	{(171,0.2765400123314999),(548,0.290948446086052),(641,0.3112559928864806),(716,0.420680870987758),(772,0.18893208453573557),(923,0.21379591400139947),(988,0.18090139137523356),(991,0.19115843208258276),(1021,0.3112559928864806),(1139,0.290948446086052),(1654,0.4430329699521813),(1694,0.19115843208258276)}
137	{(472,0.6942411442749218),(628,0.5502894328853953),(871,0.4639081521707904)}
139	{(44,0.27521043922490757),(666,0.15969568144013177),(720,0.28989336108052305),(835,0.23155480533825906),(908,0.16736892275891685),(1037,0.2634863525485572),(1056,0.2634863525485572),(1185,0.19930046996921502),(1341,0.2380531083598397),(1434,0.1588036868906641),(1596,0.29889953872569897),(1661,0.6191031720018911)}
140	{(500,0.45871946314414846),(889,0.3000758857065556),(1236,0.4122269392220347),(1253,0.22212504057652377),(1435,0.1921322813201793),(1705,0.45871946314414846),(1739,0.4826199068481619)}
141	{(889,0.5767500458362026),(1173,0.8169206721756638)}
142	{(30,0.2819968838744411),(236,0.2819968838744411),(279,0.2819968838744411),(358,0.2640885337939957),(760,0.3307654104151398),(789,0.3307654104151398),(892,0.13246963761270147),(1122,0.30918499363447977),(1257,0.2722930274758711),(1407,0.3307654104151398),(1565,0.21686283575977025),(1577,0.18319754578070488),(1621,0.30918499363447977)}
143	{(132,0.6193852790781565),(140,0.27081478037643647),(549,0.1849159636010891),(938,0.47885309884483057),(947,0.32582840898325627),(1089,0.27830440858505706),(1709,0.3096926395390783)}
146	{(555,0.44699054858419945),(676,0.26250455972940656),(872,0.44699054858419945),(971,0.2889534521765346),(1365,0.44699054858419945),(1430,0.4178271535261853),(1670,0.271322827646198)}
147	{(225,0.28619237956747445),(581,0.4677287819663691),(1185,0.4550156554148458),(1361,0.5899499345884678),(1553,0.3797940710493309)}
148	{(815,0.21552195356282158),(1033,0.8058298753736254),(1502,0.37662720623532264),(1538,0.4029149376868127)}
149	{(175,0.4483121259690215),(1279,0.565458318990542),(1423,0.6922955490204501)}
150	{(17,0.4245464537724054),(111,0.3911127136030739),(834,0.5576159762094344),(1777,0.5965363165167016)}
151	{(781,0.42387455832263504),(1119,0.4012081207442463),(1161,0.5459920964012414),(1253,0.2512919895070609),(1473,0.5459920964012414)}
152	{(129,0.45146814651663664),(300,0.529189572160163),(564,0.3085044965342617),(1038,0.4413701512518026),(1600,0.4755547020058566)}
153	{(48,0.4200672142483919),(601,0.4200672142483919),(1443,0.30368651893598525),(1621,0.4200672142483919),(1704,0.4493869605038912),(1780,0.4200672142483919)}
154	{(112,0.5839444891538735),(582,0.5458456884452569),(1220,0.5458456884452569),(1253,0.2512246054793772)}
155	{(112,0.3659528248037107),(711,0.3659528248037107),(915,0.7319056496074214),(1579,0.3251362254762261),(1768,0.3012600454626873)}
157	{(605,0.4274767008140001),(1032,0.32401755533609455),(1068,0.7595960547988351),(1253,0.36781806321773225)}
158	{(253,0.36775131281973517),(440,0.3437577924805797),(556,0.36775131281973517),(723,0.293618685464989),(870,0.3437577924805797),(971,0.23772988426331),(1053,0.2036825370635068),(1225,0.22070621066340837),(1253,0.15821397443364868),(1323,0.3437577924805797),(1503,0.2569868531800093),(1778,0.22585513519918293)}
159	{(457,0.7071067811865476),(1781,0.7071067811865476)}
160	{(1039,0.6239401667956376),(1426,0.7814721161110177)}
161	{(333,0.32955416574631446),(515,0.5551956936494022),(586,0.4208256287345123),(628,0.3751898972404134),(631,0.4208256287345123),(815,0.29697797056607195)}
162	{(225,0.11070351122759103),(274,0.2376085673802772),(336,0.26396514916600133),(344,0.5697710901244122),(523,0.4752171347605544),(676,0.18830795602410552),(889,0.18636070436948682),(1253,0.4138491060933404),(1493,0.26396514916600133)}
163	{(194,0.21797422469869818),(347,0.1497866142109753),(483,0.22083223858584933),(542,0.3462720899596482),(663,0.2101868213553799),(829,0.15676058624753952),(861,0.3462720899596482),(1007,0.32367995733169136),(1028,0.2624663188805327),(1123,0.1992263096664043),(1408,0.19355507413195833),(1434,0.15144999310432067),(1482,0.1606048038432025),(1539,0.29521723634510183),(1749,0.32367995733169136),(1802,0.2850584515084896)}
164	{(988,0.47524238971717925),(1670,0.4963396614389096),(1789,0.7264926782140431)}
165	{(37,0.17522433053493408),(68,0.23646260607182348),(151,0.2977008816087129),(173,0.2210348695812808),(204,0.2210348695812808),(234,0.19466097985070321),(451,0.11105772740846259),(471,0.37759125330691906),(661,0.16828709012012558),(688,0.2210348695812808),(873,0.141913200389548),(892,0.09470190881197314),(1284,0.23646260607182348),(1293,0.21008871634124587),(1384,0.21008871634124587),(1450,0.23646260607182348),(1498,0.2210348695812808),(1676,0.2210348695812808),(1681,0.20159822026551166),(1760,0.20159822026551166),(1823,0.2210348695812808)}
166	{(81,0.40981915349600107),(477,0.42707906734809664),(815,0.2571261079406821),(914,0.2662364991516067),(985,0.44933096644204934),(1168,0.4806932567469266),(1336,0.282297180839557)}
171	{(210,0.3229987033643945),(333,0.19172621373323026),(527,0.20332390044124887),(702,0.5739459959187043),(1305,0.18772623238237815),(1315,0.21492158714926754),(1434,0.14127084687345895),(1447,0.15170052697733583),(1513,0.2753753112513335),(1553,0.14798651117063422),(1703,0.515774934759988)}
172	{(57,0.19552227983644874),(114,0.3465205421596619),(483,0.2209906869768733),(749,0.1974125975975467),(810,0.3465205421596619),(881,0.3465205421596619),(908,0.1597331273909047),(978,0.2954290563963813),(1123,0.19936925568016767),(1230,0.26922210821173387),(1243,0.3465205421596619),(1408,0.19369395100187153),(1449,0.26922210821173387),(1658,0.24215066156811657)}
174	{(810,0.7475666993534116),(981,0.6641867433319081)}
175	{(602,1.0)}
176	{}
177	{(3,0.20220921977204234),(37,0.1603003871274624),(113,0.1780816073510851),(114,0.4326459365404727),(155,0.20220921977204234),(163,0.11981251858640733),(215,0.1603003871274624),(305,0.13285514297895082),(347,0.18714927326105232),(421,0.09514522424199506),(483,0.13795823205450608),(591,0.14182986147244064),(640,0.21632296827023634),(820,0.4044184395440847),(854,0.17271580920372104),(892,0.08663610012333524),(930,0.1780816073510851),(1101,0.17271580920372104),(1133,0.1639678588528911),(1154,0.18442799954841962),(1273,0.19219535584927908),(1447,0.10159888551278261),(1491,0.17271580920372104),(1692,0.29237327725853685)}
178	{(3,0.5127650530786395),(149,0.33297228996566464),(512,0.5127650530786395),(1230,0.42618860543047227),(1744,0.42618860543047227)}
179	{(4,0.4656350943295192),(586,0.442050960916497),(1185,0.3201221745407813),(1226,0.4656350943295192),(1327,0.5181511933572698)}
180	{(261,0.6088296467440805),(1317,0.6088296467440805),(1434,0.2662855265402478),(1504,0.4332954429094996)}
181	{(60,0.7879872227783019),(829,0.20075589868458094),(1014,0.39399361138915096),(1124,0.2828094457737193),(1238,0.3218090387903695)}
183	{(46,0.5034826187393832),(374,0.603143115731729),(532,0.44533190087958124),(1670,0.4294218585863254)}
184	{(45,0.28329953002790936),(177,0.2517016774549276),(310,0.26481597116939953),(311,0.11629216992738937),(629,0.5296319423387991),(1123,0.16299529050771672),(1148,0.28329953002790936),(1213,0.15550536089738656),(1281,0.2517016774549276),(1408,0.15835541796767647),(1471,0.45238199130736045),(1776,0.19459314308069853),(1778,0.17398891975589637)}
185	{(26,0.4533915922700238),(421,0.11695090989869239),(543,0.24855217306647584),(629,0.24855217306647584),(725,0.33058746164715164),(1119,0.18264211317376997),(1134,0.5318011108333399),(1256,0.26590055541666996),(1281,0.2362432999023308),(1503,0.1858129246946896),(1610,0.26590055541666996)}
186	{(220,0.4162668403370345),(276,0.4162668403370345),(663,0.2703096130120573),(907,0.3796625135503101),(991,0.27349490123505776),(1064,0.3555518598733422),(1107,0.44532132904569954),(1253,0.19158614779148594)}
187	{(171,0.32801247512304754),(276,0.3451027543149487),(295,0.2354480469095478),(331,0.23240087502885107),(569,0.2456571254421311),(630,0.3451027543149487),(845,0.3147562247097675),(1055,0.36919014996350574),(1057,0.3451027543149487),(1234,0.26791647447891725),(1357,0.17916712851946803),(1434,0.16147372914944377)}
188	{(111,0.36541708681643265),(143,0.49518110153226125),(228,0.5573446103390111),(1108,0.5573446103390111)}
189	{(23,0.3791475881651204),(143,0.40919669757432253),(306,0.2367216288144047),(684,0.4305168799952067),(1357,0.22351161271088238),(1473,0.4305168799952067),(1599,0.4605659894044089)}
190	{(111,0.4336175445827338),(225,0.2283352899605555),(317,0.3091079144379656),(569,0.2200346440670341),(591,0.2168087722913669),(928,0.6182158288759312),(1053,0.18315187500132404),(1234,0.23997230284105933),(1501,0.3091079144379656)}
191	{(963,0.5831204366854493),(1253,0.47675186940106884),(1804,0.657782799518471)}
192	{(41,0.4063838258001184),(421,0.17873959729403396),(513,0.2013485098053839),(815,0.21737748551992073),(829,0.1839737265032484),(847,0.20425528639547652),(883,0.2949074397146961),(1043,0.274625879822468),(1073,0.4063838258001184),(1305,0.23618950702884636),(1359,0.3345436939898245),(1543,0.3798697706494342)}
193	{(12,0.170631486276944),(361,0.2280955035548694),(377,0.18250389022337138),(451,0.13788635748260114),(847,0.14756109844171197),(883,0.4261027120607953),(959,0.26084063234921223),(1083,0.29358576114355506),(1268,0.27443108871757993),(1474,0.27443108871757993),(1609,0.5216812646984245),(1742,0.29358576114355506)}
194	{(189,0.4220432896229559),(311,0.17324536312754218),(329,0.3474348932467772),(421,0.1856270915293758),(673,0.3198991540105825),(750,0.4220432896229559),(1006,0.4220432896229559),(1599,0.4220432896229559)}
195	{(21,0.5080812163936469),(928,0.4749320294988078),(1077,0.5080812163936469),(1750,0.5080812163936469)}
196	{(79,0.33438139467645656),(215,0.2906362761950594),(591,0.2571478680137846),(745,0.3484641773297947),(1111,0.26504702229383803),(1270,0.33438139467645656),(1325,0.23538468646577898),(1339,0.3228749234285734),(1425,0.36662004190997055),(1577,0.2172288218856032),(1806,0.30471905884839756)}
197	{(6,0.18700439363750906),(271,0.4762262235385105),(333,0.13483917719463523),(358,0.18136974195250463),(513,0.11255048791060793),(728,0.20182531208673252),(782,0.2123409210746557),(830,0.20182531208673252),(842,0.2123409210746557),(875,0.22716183952387917),(890,0.20182531208673252),(1068,0.20182531208673252),(1094,0.1334055470756902),(1231,0.1648483828384893),(1246,0.12469093695211919),(1258,0.18136974195250463),(1423,0.20182531208673252),(1497,0.36273948390500926),(1577,0.2516314595505852),(1659,0.20182531208673252)}
198	{(124,0.14003229881821078),(158,0.1343730530276807),(268,0.12245307575440786),(305,0.0967974017840158),(469,0.7880576094100686),(499,0.3152230437640275),(666,0.13864439557664476),(787,0.19842921380014966),(908,0.07265307028018599),(964,0.1194659262499364),(1004,0.07011480785582065),(1051,0.11013988970645833),(1147,0.1167938299638778),(1694,0.0967974017840158),(1799,0.3152230437640275)}
199	{(199,0.17592247987736234),(306,0.1398742810929476),(401,0.25438418698496224),(421,0.11969503933394944),(430,0.2417864991275939),(564,0.14095557831506966),(579,0.2721396307825833),(611,0.2417864991275939),(637,0.3042347791674743),(661,0.19367792367498343),(883,0.19748817906564173),(938,0.1869276172310864),(955,0.2721396307825833),(990,0.10593397304483342),(1036,0.15211738958373716),(1067,0.5442792615651666),(1147,0.2016618416250485),(1435,0.10127102816042076)}
200	{(244,0.3698304625499568),(871,0.21069224879906157),(950,0.274053036496002),(995,0.6089043964672077),(1031,0.31530212869004814),(1300,0.3698304625499568),(1410,0.3698304625499568)}
201	{(12,0.18452764708590605),(57,0.17914493191154315),(76,0.2613687689852799),(135,0.3174952695062189),(642,0.19054501070027108),(721,0.2081624085148887),(963,0.16706817379403555),(968,0.28208339036371455),(1068,0.28208339036371455),(1324,0.19985955328997781),(1340,0.2466715112212102),(1456,0.2466715112212102),(1565,0.2081624085148887),(1571,0.5413666231499732)}
202	{(159,0.21960967629930353),(190,0.18893120408491798),(283,0.23450182972876313),(483,0.17541511008166327),(578,0.15098073144241803),(581,0.1551991294751605),(624,0.1996049594816351),(644,0.21960967629930353),(787,0.17314488529999197),(873,0.16507539158919252),(964,0.20848658019313218),(974,0.1996049594816351),(990,0.10706942814189589),(1088,0.27505656405718076),(1150,0.21369961962840964),(1346,0.27505656405718076),(1422,0.2571108082323493),(1425,0.2571108082323493),(1435,0.10235650340320092),(1568,0.27505656405718076),(1585,0.21960967629930353),(1596,0.22643233601796373),(1778,0.1689264872672495)}
203	{(133,0.34151708051269114),(772,0.3673949277067925),(897,0.4392325088971091),(1685,0.5160233857926965),(1702,0.5377561894171018)}
205	{(225,0.1514559347071192),(472,0.37400661191456347),(628,0.296455904498151),(772,0.2662827614588282),(909,0.32507756319503417),(1020,0.43868729607302187),(1063,0.35025513903818417),(1292,0.32507756319503417),(1302,0.3897582473534925)}
206	{(163,0.1905230579611088),(265,0.4896280663403844),(357,0.17680480171095886),(463,0.283181196751901),(527,0.2165387536647262),(909,0.25490591724643497),(1279,0.24963029705765982),(1344,0.25490591724643497),(1613,0.3439917122879437),(1770,0.3215483603336097),(1783,0.3439917122879437),(1817,0.18248692641928338)}
